file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX194500099,115,1,/,N/A,0,0,Non-text
CTX194500099,115,5,———,N/A,0,0,Non-text
CTX194500099,115,9,a,N/A,0,0,Non-text
CTX194500099,115,2,Str.,deu_Latn,0.4720,69.23,Noisy
CTX194500099,115,3,Inv.,deu_Latn,0.9672,69.86,Clear
CTX194500099,115,4,číslo,slk_Latn,0.7664,40839.65,Trash
CTX194500099,115,6,Staré,ces_Latn,0.4566,36341.04,Trash
CTX194500099,115,7,číslo,slk_Latn,0.7664,40839.65,Trash
CTX194500099,115,8,"Předmět, jeho popis, po příp. kresba",ces_Latn,1.0000,217.77,Noisy
CTX194500099,115,10,způsob získání,ces_Latn,1.0000,632.57,Trash
CTX194500099,115,11,"Bližší kult, určení",ces_Latn,0.9993,274.06,Noisy
CTX194500099,115,13,352,N/A,0,0,Non-text
CTX194500099,115,25,"Bila 0.7 -0.8 ""A (",N/A,0,0,Non-text
CTX194500099,115,27,ami,N/A,0,0,Non-text
CTX194500099,115,28,m,N/A,0,0,Non-text
CTX194500099,115,33,346-356,N/A,0,0,Non-text
CTX194500099,115,34,353,N/A,0,0,Non-text
CTX194500099,115,35,/,N/A,0,0,Non-text
CTX194500099,115,52,546-356,N/A,0,0,Non-text
CTX194500099,115,53,/=,N/A,0,0,Non-text
CTX194500099,115,55,554,N/A,0,0,Non-text
CTX194500099,115,56,- 1,N/A,0,0,Non-text
CTX194500099,115,57,i,N/A,0,0,Non-text
CTX194500099,115,58,1,N/A,0,0,Non-text
CTX194500099,115,75,346-356,N/A,0,0,Non-text
CTX194500099,115,76,355,N/A,0,0,Non-text
CTX194500099,115,91,Síla 0.5 - 0.6 cm —- -,N/A,0,0,Non-text
CTX194500099,115,92,9,N/A,0,0,Non-text
CTX194500099,115,93,"1,",N/A,0,0,Non-text
CTX194500099,115,94,»,N/A,0,0,Non-text
CTX194500099,115,100,346-356,N/A,0,0,Non-text
CTX194500099,76,10,—,N/A,0,0,Non-text
CTX194500099,76,12,/,N/A,0,0,Non-text
CTX194500099,76,21,1,N/A,0,0,Non-text
CTX194500099,76,22,212,N/A,0,0,Non-text
CTX194500099,76,39,i ¬,N/A,0,0,Non-text
CTX194500099,76,40,-,N/A,0,0,Non-text
CTX194500099,76,41,"i,",N/A,0,0,Non-text
CTX194500099,76,42,1,N/A,0,0,Non-text
CTX194500099,76,43,i-,N/A,0,0,Non-text
CTX194500099,76,47,213,N/A,0,0,Non-text
CTX194500099,76,48,/,N/A,0,0,Non-text
CTX194500099,76,69,0.60 do 1.10 cm,N/A,0,0,Non-text
CTX194500099,76,71,-,N/A,0,0,Non-text
CTX194500099,76,72,1.,N/A,0,0,Non-text
CTX194500099,76,73,té,N/A,0,0,Non-text
CTX194500099,115,12,Poznámka,slk_Latn,0.9997,897.29,Trash
CTX194500099,115,14,"Střen z nádoby, nepravidelné",ces_Latn,0.9985,736.20,Trash
CTX194500099,115,15,"nepravidelnétvaru, prohnutý, příčně 1",ces_Latn,1.0000,421.16,Noisy
CTX194500099,115,16,"podlně,barvy tmavě šedé,ne",ces_Latn,1.0000,412.94,Noisy
CTX194500099,115,17,vnější straně zdobený dvěma,ces_Latn,1.0000,110.79,Noisy
CTX194500099,115,18,"rovnoběžnými, zakřivenými rýl",ces_Latn,0.9987,111.37,Noisy
CTX194500099,115,19,ostře a hluboce rytými Pevrek,ces_Latn,1.0000,444.62,Noisy
CTX194500099,115,20,/část volut/.P ovrch střepu je,ces_Latn,1.0000,1703.34,Trash
CTX194500099,115,21,"drsnější. Lomy jsou ostré,ale",ces_Latn,1.0000,1726.31,Trash
CTX194500099,115,22,staré .Vzdálenost rýh os sebe,ces_Latn,0.9998,1036.63,Trash
CTX194500099,115,23,3e 1.4 cm.,vie_Latn,0.3974,148.87,Noisy
CTX194500099,115,24,Nejv. průměr střenu; 3.0 x5.40,ces_Latn,1.0000,163.21,Noisy
CTX194500099,115,26,dtto,gle_Latn,0.8644,839499.44,Trash
CTX194500099,115,29,Neol it,lit_Latn,0.4816,12093.70,Trash
CTX194500099,115,30,n 'sková k.,ces_Latn,0.8523,858.52,Trash
CTX194500099,115,31,volut.ker.,vie_Latn,0.6017,691.32,Trash
CTX194500099,115,32,Spol unal •,deu_Latn,0.4187,7997.10,Trash
CTX194500099,115,36,"Střen trojúhelníkového tvaru,",ces_Latn,0.9991,684.34,Trash
CTX194500099,115,37,"mírně prohnutý, z jemné hlíny",ces_Latn,1.0000,621.07,Trash
CTX194500099,115,38,promísené drobnými kousky,ces_Latn,0.9999,1895.42,Trash
CTX194500099,115,39,slídy. Vnější i vnitřní stra-,ces_Latn,1.0000,271.94,Noisy
CTX194500099,115,40,ha Isou hladké .Vně3 ší strana,ces_Latn,0.9999,1500.80,Trash
CTX194500099,115,41,"zdobena Jemně rytou, mělkou r",ces_Latn,1.0000,358.72,Noisy
CTX194500099,115,42,tvaru nenrav. půlkruhu. Barva,ces_Latn,0.9857,854.42,Trash
CTX194500099,115,43,střepu hnědošedá.,ces_Latn,1.0000,207.42,Noisy
