file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX200502039,282,5,ZAV,N/A,0,0,Non-text
CTX200502039,282,7,18.11.2002,N/A,0,0,Non-text
CTX200502039,180,5,ZAV,N/A,0,0,Non-text
CTX200502039,180,7,25.9.2002,N/A,0,0,Non-text
CTX200502039,90,1,"Obr. 38: Vícov, okr. Plzeň - jih. Celkový plán pro období Halštat D, fáze 1 (výzkum 2004).",ces_Latn,0.9966,437.66,Noisy
CTX200502039,282,1,číslo snímku 624 rok 2002,ces_Latn,0.9376,2309.14,Trash
CTX200502039,282,2,Název lokality,ces_Latn,0.9999,3407.74,Trash
CTX200502039,282,3,"Vícov - RD, parcelní č.1238/7 a 1238/8",ces_Latn,0.9346,641.10,Trash
CTX200502039,282,4,Druh,slk_Latn,0.8958,908.11,Trash
CTX200502039,282,6,Datum pořízení,ces_Latn,1.0000,3235.74,Trash
CTX200502039,282,8,Popis,bos_Latn,0.7867,1070.06,Trash
CTX200502039,282,9,"obj. 42, výplně 143, 144 a 145, čtverec A1 - sektor c,",ces_Latn,0.9963,604.04,Trash
CTX200502039,282,10,příkopovitá či terasovitá zahloubenina,ces_Latn,1.0000,265.11,Noisy
CTX200502039,282,11,Poznámka,slk_Latn,0.9997,897.29,Trash
CTX200502039,180,1,číslo snímku 522 rok 2002,ces_Latn,0.9501,2084.66,Trash
CTX200502039,180,2,Název lokality,ces_Latn,0.9999,3407.74,Trash
CTX200502039,180,3,"Vícov - RD, parcelní č.1238/7 a 1238/8",ces_Latn,0.9346,641.10,Trash
CTX200502039,180,4,Druh,slk_Latn,0.8958,908.11,Trash
CTX200502039,180,6,Datum pořízení,ces_Latn,1.0000,3235.73,Trash
CTX200502039,180,8,Popis,bos_Latn,0.7867,1070.06,Trash
CTX200502039,180,9,"obj. 24, výplň 25, čtverec B2 - sektory b-c, pec s",slk_Latn,0.7224,416.80,Noisy
CTX200502039,180,10,předpecní jámou ?,ces_Latn,1.0000,735.89,Trash
CTX200502039,180,11,Poznámka,slk_Latn,0.9997,897.29,Trash
CTX200502039,76,4,— i,N/A,0,0,Non-text
CTX200502039,76,8,O,N/A,0,0,Non-text
CTX200502039,76,9,1 m,N/A,0,0,Non-text
CTX200502039,264,3,2002,N/A,0,0,Non-text
CTX200502039,264,9,8.11.2002,N/A,0,0,Non-text
CTX200502039,169,3,SEK,N/A,0,0,Non-text
CTX200502039,169,4,OBJ,N/A,0,0,Non-text
CTX200502039,169,5,5,N/A,0,0,Non-text
CTX200502039,169,7,6,N/A,0,0,Non-text
CTX200502039,169,9,6,N/A,0,0,Non-text
CTX200502039,169,14,"1,00",N/A,0,0,Non-text
CTX200502039,169,18,"11,00",N/A,0,0,Non-text
CTX200502039,169,21,"1,00",N/A,0,0,Non-text
CTX200502039,169,23,"7,00",N/A,0,0,Non-text
CTX200502039,169,25,"1,00",N/A,0,0,Non-text
CTX200502039,169,30,"3,00",N/A,0,0,Non-text
CTX200502039,169,35,"1,00",N/A,0,0,Non-text
CTX200502039,169,46,"2,00",N/A,0,0,Non-text
CTX200502039,169,47,"1,00",N/A,0,0,Non-text
CTX200502039,169,48,"3,00",N/A,0,0,Non-text
CTX200502039,169,49,"31,00",N/A,0,0,Non-text
CTX200502039,169,51,"1,00",N/A,0,0,Non-text
CTX200502039,169,53,"11,00 1,00 7,00 1,00 3,00 1,00 2,00 1,00 3,00",N/A,0,0,Non-text
CTX200502039,166,3,5,N/A,0,0,Non-text
CTX200502039,166,4,20,N/A,0,0,Non-text
CTX200502039,166,5,24,N/A,0,0,Non-text
CTX200502039,166,6,26,N/A,0,0,Non-text
CTX200502039,166,7,37,N/A,0,0,Non-text
CTX200502039,166,8,41,N/A,0,0,Non-text
CTX200502039,166,9,55,N/A,0,0,Non-text
CTX200502039,166,10,77,N/A,0,0,Non-text
CTX200502039,166,11,79,N/A,0,0,Non-text
CTX200502039,166,12,81,N/A,0,0,Non-text
CTX200502039,166,14,6,N/A,0,0,Non-text
CTX200502039,166,15,21,N/A,0,0,Non-text
CTX200502039,166,16,25,N/A,0,0,Non-text
CTX200502039,166,17,27,N/A,0,0,Non-text
CTX200502039,166,18,40,N/A,0,0,Non-text
CTX200502039,166,19,34,N/A,0,0,Non-text
CTX200502039,166,20,56,N/A,0,0,Non-text
CTX200502039,166,21,78,N/A,0,0,Non-text
CTX200502039,166,22,80,N/A,0,0,Non-text
CTX200502039,166,23,82,N/A,0,0,Non-text
CTX200502039,166,25,19,N/A,0,0,Non-text
CTX200502039,166,27,A1,N/A,0,0,Non-text
CTX200502039,166,28,B2,N/A,0,0,Non-text
CTX200502039,166,29,B2,N/A,0,0,Non-text
CTX200502039,166,30,C4,N/A,0,0,Non-text
CTX200502039,166,31,B4,N/A,0,0,Non-text
CTX200502039,166,32,B4,N/A,0,0,Non-text
CTX200502039,166,33,B2,N/A,0,0,Non-text
CTX200502039,166,34,A1,N/A,0,0,Non-text
CTX200502039,166,35,A1,N/A,0,0,Non-text
CTX200502039,166,36,B2,N/A,0,0,Non-text
CTX200502039,166,38,C,N/A,0,0,Non-text
CTX200502039,166,39,B,N/A,0,0,Non-text
CTX200502039,166,40,D,N/A,0,0,Non-text
CTX200502039,166,41,A,N/A,0,0,Non-text
CTX200502039,166,42,B,N/A,0,0,Non-text
CTX200502039,166,43,D,N/A,0,0,Non-text
CTX200502039,166,44,C,N/A,0,0,Non-text
CTX200502039,166,45,Ha,N/A,0,0,Non-text
CTX200502039,166,46,Ha,N/A,0,0,Non-text
CTX200502039,166,51,Ha,N/A,0,0,Non-text
CTX200502039,166,52,Ha,N/A,0,0,Non-text
CTX200502039,166,53,XIII,N/A,0,0,Non-text
CTX200502039,166,54,Ha,N/A,0,0,Non-text
CTX200502039,166,57,o,N/A,0,0,Non-text
CTX200502039,166,58,1,N/A,0,0,Non-text
CTX200502039,166,59,1,N/A,0,0,Non-text
CTX200502039,166,60,1zl,N/A,0,0,Non-text
CTX200502039,166,63,o,N/A,0,0,Non-text
CTX200502039,166,66,1zl,N/A,0,0,Non-text
CTX200502039,166,68,1zl,N/A,0,0,Non-text
CTX200502039,166,69,1zl,N/A,0,0,Non-text
CTX200502039,166,70,5zl,N/A,0,0,Non-text
CTX200502039,166,72,1zl,N/A,0,0,Non-text
CTX200502039,166,73,1zl,N/A,0,0,Non-text
CTX200502039,166,76,sl,N/A,0,0,Non-text
CTX200502039,166,77,2zl,N/A,0,0,Non-text
CTX200502039,166,80,o,N/A,0,0,Non-text
CTX200502039,166,81,2+1/2,N/A,0,0,Non-text
CTX200502039,166,82,3,N/A,0,0,Non-text
CTX200502039,166,83,1zl,N/A,0,0,Non-text
CTX200502039,166,86,s,N/A,0,0,Non-text
CTX200502039,166,87,1zl,N/A,0,0,Non-text
CTX200502039,166,88,1,N/A,0,0,Non-text
CTX200502039,166,91,s,N/A,0,0,Non-text
CTX200502039,166,92,2/2,N/A,0,0,Non-text
CTX200502039,166,93,1/2+1zl,N/A,0,0,Non-text
CTX200502039,166,94,1/2,N/A,0,0,Non-text
CTX200502039,166,95,2/2,N/A,0,0,Non-text
CTX200502039,166,98,o,N/A,0,0,Non-text
CTX200502039,166,99,1zl,N/A,0,0,Non-text
CTX200502039,166,100,5,N/A,0,0,Non-text
CTX200502039,166,101,1,N/A,0,0,Non-text
CTX200502039,166,104,o,N/A,0,0,Non-text
CTX200502039,166,105,2,N/A,0,0,Non-text
CTX200502039,166,106,1,N/A,0,0,Non-text
CTX200502039,166,108,2,N/A,0,0,Non-text
CTX200502039,166,109,1,N/A,0,0,Non-text
CTX200502039,166,112,o,N/A,0,0,Non-text
CTX200502039,166,113,3,N/A,0,0,Non-text
CTX200502039,166,117,o,N/A,0,0,Non-text
CTX200502039,166,118,3,N/A,0,0,Non-text
CTX200502039,166,120,11,N/A,0,0,Non-text
CTX200502039,166,123,o,N/A,0,0,Non-text
CTX200502039,166,124,1zl,N/A,0,0,Non-text
CTX200502039,166,128,s,N/A,0,0,Non-text
CTX200502039,166,129,2,N/A,0,0,Non-text
CTX200502039,166,132,n,N/A,0,0,Non-text
CTX200502039,166,133,1,N/A,0,0,Non-text
CTX200502039,166,134,1,N/A,0,0,Non-text
CTX200502039,166,137,o,N/A,0,0,Non-text
CTX200502039,166,141,n,N/A,0,0,Non-text
CTX200502039,166,142,1,N/A,0,0,Non-text
CTX200502039,166,143,1,N/A,0,0,Non-text
CTX200502039,166,144,1,N/A,0,0,Non-text
CTX200502039,166,148,n,N/A,0,0,Non-text
CTX200502039,166,151,n,N/A,0,0,Non-text
CTX200502039,166,152,5+3/2,N/A,0,0,Non-text
CTX200502039,166,153,1,N/A,0,0,Non-text
CTX200502039,166,154,3,N/A,0,0,Non-text
CTX200502039,166,155,1,N/A,0,0,Non-text
CTX200502039,166,156,4,N/A,0,0,Non-text
CTX200502039,166,157,3,N/A,0,0,Non-text
CTX200502039,166,160,n,N/A,0,0,Non-text
CTX200502039,166,161,1zl,N/A,0,0,Non-text
CTX200502039,166,162,1zl,N/A,0,0,Non-text
CTX200502039,166,165,n,N/A,0,0,Non-text
CTX200502039,166,166,2,N/A,0,0,Non-text
CTX200502039,166,167,1 +1,N/A,0,0,Non-text
CTX200502039,166,168,1,N/A,0,0,Non-text
CTX200502039,166,171,n,N/A,0,0,Non-text
CTX200502039,166,174,n,N/A,0,0,Non-text
CTX200502039,166,175,1,N/A,0,0,Non-text
CTX200502039,166,178,n,N/A,0,0,Non-text
CTX200502039,166,179,1,N/A,0,0,Non-text
CTX200502039,166,182,n,N/A,0,0,Non-text
CTX200502039,166,183,1,N/A,0,0,Non-text
CTX200502039,166,184,5,N/A,0,0,Non-text
CTX200502039,166,187,n,N/A,0,0,Non-text
CTX200502039,166,188,1,N/A,0,0,Non-text
CTX200502039,166,189,1,N/A,0,0,Non-text
CTX200502039,166,192,pup,N/A,0,0,Non-text
CTX200502039,166,193,1,N/A,0,0,Non-text
CTX200502039,166,194,dub,N/A,0,0,Non-text
CTX200502039,166,196,s,N/A,0,0,Non-text
CTX200502039,166,197,1,N/A,0,0,Non-text
CTX200502039,166,200,s,N/A,0,0,Non-text
CTX200502039,166,201,2,N/A,0,0,Non-text
CTX200502039,21,1,21,N/A,0,0,Non-text
CTX200502039,76,1,"Obr. 24: Vícov, okr. Plzeň - jih. Objekt 77, výplň 78. Koncentrace kamenů ve výplni",ces_Latn,0.9986,342.07,Noisy
CTX200502039,76,2,objektu (výzkum 2002).,ces_Latn,0.9842,459.14,Noisy
CTX200502039,76,3,B3/d i B3/a,swe_Latn,0.5004,360.19,Noisy
CTX200502039,76,5,B3/c 1 B3/b,vie_Latn,0.9016,231.14,Noisy
CTX200502039,76,6,A3/d | A3/a,eng_Latn,0.3841,157.62,Noisy
CTX200502039,76,7,A3/c 1 A3/b,vie_Latn,0.9379,223.45,Noisy
CTX200502039,264,1,číslo snímku,ces_Latn,0.9786,2966.31,Trash
CTX200502039,264,2,606 rok,ces_Latn,0.9518,11002.74,Trash
CTX200502039,264,4,Název lokality,ces_Latn,0.9999,3407.76,Trash
CTX200502039,264,5,"Vícov - RD, parcelní č.1238/7 a 1238/8",ces_Latn,0.9346,641.10,Trash
CTX200502039,264,6,Druh,slk_Latn,0.8958,908.11,Trash
CTX200502039,264,7,I ZAV,eng_Latn,0.9111,6313.52,Trash
CTX200502039,264,8,Datum pořízení,ces_Latn,1.0000,3235.74,Trash
CTX200502039,264,10,Popis,bos_Latn,0.7867,1070.07,Trash
CTX200502039,264,11,"obj. 125, výplň 126, čtverec A3 - sektor d, sloupová",ces_Latn,0.9719,718.04,Trash
CTX200502039,264,12,jamka,pol_Latn,0.9936,38866.88,Trash
CTX200502039,264,13,Poznámka,slk_Latn,0.9997,897.29,Trash
CTX200502039,169,1,"Tab 11: Početní zastoupení zbytků rostlin, výplň 6 (výzkum 2002).",ces_Latn,1.0000,397.20,Noisy
CTX200502039,169,2,ČTV A1,slk_Latn,0.7937,3527.68,Trash
CTX200502039,169,6,VÝPLŇ,vie_Latn,0.4579,2417.38,Trash
CTX200502039,169,8,VRSTVA,kor_Hang,0.9804,5836.37,Trash
CTX200502039,169,10,Agrostema githago,nso_Latn,0.5280,2827.22,Trash
CTX200502039,169,11,Atriplex sp.,vie_Latn,0.7497,7028.05,Trash
CTX200502039,169,12,Avena sp.,ita_Latn,0.4511,825.65,Trash
CTX200502039,169,13,Bromus secalinus,ind_Latn,0.6068,2252.19,Trash
CTX200502039,169,15,Bromus sp.,vie_Latn,0.4077,407.44,Noisy
CTX200502039,169,16,Cerealia,vie_Latn,0.4922,34065.25,Trash
CTX200502039,169,17,Cerealia-slam.,lit_Latn,0.1981,850.88,Trash
CTX200502039,169,19,Fallopia convolvulus,vie_Latn,0.8289,33959.80,Trash
