keyword,score
zelezniního přejeacu,4.00
2o vz2,4.00
žíe da,4.00
sch_v/3dist_obe_poun 70-8,4.00
silni cemni,4.00
knířovským potokem,4.00
ms pmpí,4.00
tr cešepo,4.00
tř clhl,4.00
ti sovou,4.00
„mozi břesinami,4.00
amrom d,4.00
‘rad- lubu,4.00
sibliograf ie,4.00
wč iv,4.00
ave brodech*,4.00
„lla olinch,4.00
„lla punčošce,4.00
„lad voštiofe,4.00
oriontovaná ssz-jjv,4.00
žo jda,4.00
sachyco- nou,4.00
česká hožmanice,4.00
sedlišti splývá,4.00
podlo lutterora,4.00
av zybníkcu,4.00
„la ouzkejch,4.00
dezy mino,4.00
cou v111,4.00
třtina bickupa,4.00
invontáž zahznoval,4.00
seveznějš počíná,4.00
oriontovaná v-,4.00
přik žece,4.00
táž hrách,4.00
komunika komunikazvyšovely,4.00
vysokgho mýta,4.00
tmolfk 1665*^886,4.00
věc zdôzarněna,4.00
prvá zmince,4.00
úmyelu založit,4.00
p0dorys voi,4.00
vrcholně středověký,4.00
iv tvr_,4.00
pžftuhy -obr,4.00
zdali právě,4.00
predstavo predstavocitát,4.00
listiny voka,4.00
ničeho blišäího,4.00
královský zásah,4.00
„u vodárny,4.00
okre okrevsi,4.00
ules bukovina,4.00
folovine katastru,4.00
pokryta lesem,4.00
klaudiánově mapo,4.00
zoch vied,4.00
lns značka,4.00
dva obíraje,4.00
oetzové hroby,4.00
popelnicus polo,4.00
suchá lhota,4.00
vidlatá seč,4.00
bedláček 1860-1869,4.00
+f* 1943-1945,4.00
tomfčeir 1921-1922,4.00
24/ donnívám,4.00
žome vytahovat,4.00
bozojmonné afdtšt,4.00
4* aince,4.00
vädy sjízdná,4.00
těžkými povosy,4.00
de—ne— pq,4.00
zech vzd,4.00
pomístní jnéna,4.00
starcích ebytk,4.00
koncích uzavřg-,4.00
hunna staveb,4.00
záhumenicovou plužinu,4.00
toreziánkóm katastru,4.00
josefskén katastru,4.00
udlezy minef,4.00
václava ti,4.00
anč ii,4.00
darování patronítu,4.00
is cerekvie,4.00
s/n žlu-rgž,4.00
„hrad atél,4.00
cravého ptáka,4.00
zvandho zátvor,4.00
cti av,4.00
sedláčok 1931a,4.00
jmána brtek,4.00
„o sejtinky,4.00
„u březin,4.00
„v kopeíoh,4.00
rovnoběžně chzube,4.00
sněru s3,4.00
odb iv,4.00
odkcazu jana,4.00
os ulrious,4.00
equendan agzun,4.00
relicte d,4.00
ľučin klade,4.00
máleny minoí,4.00
sebučina většího,4.00
taká přiléhají,4.00
eněru sz-iv,4.00
cou vit1,4.00
pohraničních oblastech,4.00
„v háj,4.00
„za kurny,4.00
pa trocinie,4.00
pdorys vs,4.00
nepravidelný rozptýlený,4.00
jo dochovína,4.00
tudislavi- záskalí,4.00
131*81 *129,4.00
budislny mfe,4.00
shr růž,4.00
části obce,4.00
odstíny sedá,4.00
tmavě cihlový,4.00
bílo- žluté,4.00
jecnoduchou vinic£,4.00
plastiokón fčnlku,4.00
zlonky mia/pokliček,4.00
*64* -65,4.00
—127s -130,4.00
vertikální vseky,4.00
132-213* 6b,4.00
mat eridl,4.00
tvre ost,4.00
příměs píokcu,4.00
horizontální vsekcy,4.00
enoflíky pokliček,4.00
hnědá aš,4.00
jenné rýžky*,4.00
rfhová äroubovice,4.00
*45# -47,4.00
šikmó veekry,4.00
hradištní hradištníohledu,4.00
přímšs pískn,4.00
134*351 á,4.00
vývalková šroubovica,4.00
vnějším plášti,4.00
vlnico rytá,4.00
par parč,4.00
stopy opálení,4.00
dokumentační díl,4.00
dvou dílů,4.00
těchto důvodů,4.00
tex texdílu,4.00
dílu prvému,4.00
vyhledávání citací,4.00
přirozeně jednotný,4.00
oba díly,4.00
zahrnuje prameny,4.00
nímž vystupuje,4.00
nekatastrální obce,4.00
budislav konstrikce,4.00
sterilním podloží,4.00
novot novot1928,4.00
pj „zábranský,4.00
skutečně vztahuje,4.00
celnici ise,4.00
právem pochybovat,4.00
dodnes živé,4.00
pj „fortna,4.00
proraženou brankami,4.00
horní jezd,4.00
josefský katastr,4.00
menuté kněžiště,4.00
zvodala vížka,4.00
sanktusovýu zvonem,4.00
poobrazy evětců,4.00
hlavním vchodem,4.00
odděleně stála,4.00
popudu vratislava,4.00
pern pernr,4.00
táž drželo,4.00
212*216j 1973a,4.00
cherak- teristické,4.00
odl viii,4.00
móně významá,4.00
trojúhelníko trojúhelníkojádro,4.00
humna stavení*,4.00
neboř naznačuje,4.00
louč- nou,4.00
6/* tr,4.00
náhodném zásehu,4.00
průměry kruhů,4.00
korytem potoka,4.00
nová sídla,4.00
ís ha,4.00
yyd tve,4.00
*i čísbama,4.00
směřu- jícího,4.00
katastru x,4.00
starých cestách,4.00
katastru obce,4.00
nekatastrální sídliště,4.00
doby vymezené,4.00
způsob citace,4.00
teay mnapř,4.00
podrobnějším členěním,4.00
arabská číslice,4.00
příslušným citátem,4.00
stf 87*16,4.00
okrají obce,4.00
s+ř- 2lu,4.00
nedostatek času,4.00
nemohl zahrnout,4.00
anderlovi daruji,4.00
laakavé svolení,4.00
anderlov sbírce,4.00
ka kaobce,4.00
bezprostrední blizkosti,4.00
vyjádření p,4.00
-roch yfze,4.00
zech výzd,4.00
prekcticky rozklácá,4.00
cerekvickóho katestzu,4.00
ná1ezy minof,4.00
rodu vladyk,4.00
delimil kap,4.00
eožmanieích tanec,4.00
pištcem vzala,4.00
šmileer /1960,4.00
přinejmenším podivná,4.00
patřily hežmenice,4.00
ka kabohuňovic,4.00
„pološení panský,4.00
arabskou číslicí,4.00
strán- ce,4.00
provedeno řádkování,4.00
regesta ii,4.00
doporuče doporučel,4.00
jo jokatastru,4.00
ně narazil,4.00
minulosti obce,4.00
„k horkoám,4.00
„la kemenci,4.00
-j vet,4.00
zasvěcen sv,4.00
jakcubu většíma,4.00
přáiš přiléhavá,4.00
„plchovš kopci*,4.00
obehnána přikope,4.00
monte lapideo,4.00
„@ruhou částí,4.00
míní saliště,4.00
„mons lapiceus,4.00
„stremitzer mur,4.00
„obere kirchenflur,4.00
„ober- winkel,4.00
„wikler plur,4.00
-y oberwinkelu,4.00
„jansdorfer xirchenveldfinr,4.00
současné podobě,4.00
na- rie,4.00
zaízoní 1750-1800,4.00
zcela pravidelné,4.00
pratkdelnost porušona,4.00
drobnější pozemky,4.00
oděru jz,4.00
kon konkatastru,4.00
jansdorfer firchenflur,4.00
výši poplatku,4.00
še j1%,4.00
stole- +i,4.00
„britnner- steis,4.00
č1 sté,4.00
třicetileté války,4.00
zelinky ni,4.00
mazých krán,4.00
nachá zejí,4.00
čn—ze—ve— ro,4.00
lišta nepravidelné,4.00
2vz tesh,4.00
žvee 1921-1922,4.00
říčicy desné,4.00
význem „dobrý,4.00
přaäní odor,4.00
rředntho oboru,4.00
táto podobá,4.00
uvádějí přeání,4.00
stojí vlevo,4.00
značí místo,4.00
zvaná„urrlči- ce,4.00
dopzav zesnlých,4.00
=8 -3,4.00
sbírce p,4.00
zlomky kachl,4.00
méno th,4.00
3náno dobrik,4.00
„te štrokej,4.00
bruno- 12ce,4.00
„ľa kuny,4.00
„ad nlojnoltou,4.00
„pod ploty,4.00
zhruba uprostžed,4.00
uvá- í,4.00
bon±tní třída,4.00
humnim stavení,4.00
kvalita půdy,4.00
katas katasobce,4.00
zžojmě liší,4.00
j zdi,3.97
j limpuše,3.97
j msta,3.97
ošunbexk j,3.97
radou j,3.97
l- j,3.97
má j,3.97
ně j,3.97
snrum j,3.97
j „štít,3.97
j czavína,3.97
j mstečka,3.97
j •1308,3.97
j nj,3.97
j azubic,3.97
tvoříe j,3.97
j „vypálena#,3.97
167i j,3.95
lese j,3.95
j strany,3.95
opt j,3.95
j viner,3.95
j utvořend,3.95
n| j,3.95
j vznik,3.95
j voi,3.95
j vni,3.95
půdorys val,3.95
půdorys vi,3.95
současý půdorys,3.95
půdorys nepotvrdily,3.95
ředa p,3.94
p plužiny,3.94
majetku p,3.94
zarelióf p,3.94
predel p,3.94
domem p,3.94
sdělení p,3.94
p ouge,3.94
dnj p,3.94
nazthradědom p,3.94
p voně,3.94
-vjy vel,3.93
-j vel,3.93
jy vel,3.93
móno vel,3.93
p3dorys vel,3.93
okřeji vel,3.93
jnéno vel,3.93
bbv vel,3.93
euóno vel,3.93
vel seložené,3.93
pdorys vel,3.93
oblasti vel,3.93
idorye vel,3.93
dokunentuje r,3.93
houbovice r,3.93
troubovice r,3.93
maudián r,3.93
broubévice r,3.93
ew r,3.93
pžea r,3.93
vystavěný r,3.93
shořel r,3.93
zalomená r,3.93
založoné r,3.93
p j,3.91
choceňském muzeu,3.91
skutečskóm muzeu,3.91
vysokonýtském muzeu,3.91
árchaologioký materiál,3.91
árcheologický materiál,3.91
choceňakém muzeu,3.91
archeolo_ický materiál,3.91
árchoologioký materiál,3.91
7-archeologický materiál,3.91
7-azcheologický materiál,3.91
materiál strepů,3.91
ický materiál,3.91
7árchoologický materiál,3.91
archeologickcý materiál,3.91
choceském muzeu,3.91
litomyšlnkém muzeu,3.91
krlovóhradeckém muzeu,3.91
témäe muzeu,3.91
a±cheologický materiál,3.91
akutočakón muzeu,3.91
1rchoologický materiál,3.91
litomyšlekm muzeu,3.91
archeologieký materiál,3.91
7eärcheologický materiál,3.91
nálezy ninef,3.90
' uýto,3.90
' -i,3.90
nálezy mineí,3.90
' ag,3.90
' br,3.90
ovit ',3.90
' ix,3.90
t ivoa,3.90
stf t,3.90
vnres t,3.90
t 3t,3.90
„tabátova ves,3.89
ves rozdělene,3.89
ves zanesena,3.89
blažkova ves,3.89
ves lazice,3.89
ves dosti,3.89
ves bílý,3.89
ves euchou,3.89
zaniklá ves,3.89
novou ves,3.89
šovou ves,3.89
šo ves,3.89
ves edlištka,3.89
ves pojmenováns,3.89
ves stáčí,3.89
ves thotu,3.89
ves má,3.89
ves zaniklou,3.89
vysoké wýto,3.89
106% vysoké,3.89
vysoké týto,3.89
vysoké ito,3.89
ústí n,3.88
40-1 n,3.88
žddzu n,3.88
bezprostřed- n,3.88
cerekvice n,3.88
n „zéheuský,3.88
-75- n,3.88
zjoz r,3.88
jméno vzniklo,3.88
kdyš r,3.88
zzajat r,3.88
jméno nejspfše,3.88
jméno opět,3.88
jméno hrut,3.88
choceňskm katastru,3.88
katastru madočovaukazuje,3.88
obnovený r,3.88
byle r,3.88
oíp katastru,3.88
prestavn r,3.88
části szron,3.88
vraolavi r,3.88
příslušném katastru,3.88
r *a,3.88
místní jméno,3.88
osobní jméno,3.88
pomístní jméno,3.88
větrná# r,3.88
vapomínanón r,3.88
pa r,3.88
51žní části,3.88
nlo r,3.88
doložené r,3.88
42b r,3.88
zeznomenený r,3.88
zaznezenaná r,3.88
katastru položení,3.88
pracích r,3.88
zkoumíno r,3.88
pi r,3.88
šeny r,3.88
enad r,3.88
oložena r,3.88
nelezen r,3.88
sána katastru,3.88
jv části,3.88
vně sfro,3.88
vně zby,3.88
znak vi,3.86
— čel96,3.86
výši c,3.86
ju6no vi,3.86
p0dorys vi,3.86
anóno vi,3.86
— va,3.86
průněr c,3.86
w polo,3.86
tuhy w,3.86
w cowepercoe,3.86
w domorudie,3.86
w ‘,3.86
j části,3.85
phí tuhy,3.83
beze stopy,3.83
technologické stopy,3.83
jejichž stopy,3.83
spojovací zástavby,3.83
y zeyn_see-,3.83
blok zástavby,3.83
y ik,3.83
y merhohí,3.83
tuhy stž,3.83
blokem zástavby,3.83
vesnické zástavby,3.83
stopy zybníčků,3.83
redhoštské nálezy,3.83
onru s-j,3.83
vzhle- den,3.83
oriantovand s-j,3.83
izžisla- va,3.83
sněren s-j,3.83
směru jje=bsv,3.83
orientovaná s-j,3.83
nálezy minet,3.83
va tahu,3.83
vdele- va,3.83
den nádob,3.83
va hledem,3.83
směru zv,3.83
nálezy minei,3.83
elonky den,3.83
zlomky den,3.83
nálezy mnof,3.83
eměru s-j,3.83
směru íw,3.83
sz vmi,3.83
fichter n,3.82
6- n,3.82
sudislav n,3.82
vs1 n,3.82
suren n,3.82
ti- n,3.82
p0dorys vel,3.82
5ap0dorys vel,3.82
vel došlo,3.82
spojují vel,3.82
jméno vel,3.82
půdrys vel,3.82
okraji =,3.81
okraji 77-2,3.81
okraji vbí,3.81
okraji katastru,3.81
okraji •>,3.81
okraji města,3.81
tv vsi,3.80
spojení vsi,3.80
-s vsi,3.80
-jv vsi,3.80
-jz vsi,3.80
-j vsi,3.80
půdorye vsi,3.80
2ajméno vsi,3.80
p0dorye vsi,3.80
jz vsi,3.80
av vsi,3.80
vsi demné,3.80
vsi krásňoves,3.80
vsi přilchlá,3.80
20ř5-pôdorys vsi,3.80
oméno vsi,3.80
jmáno vsi,3.80
p1dorys vsi,3.80
bz vsi,3.80
dorys vsi,3.80
pôdorys vsi,3.80
idorye vsi,3.80
jnóno vsi,3.80
vsi nasenjí,3.80
ez vsi,3.80
3n6no vsi,3.80
jnéno vsi,3.80
cíp vsi,3.80
£ vsi,3.80
j0óno vsi,3.80
dozys vsi,3.80
x vsi,3.80
$4* vsi,3.80
8z vsi,3.80
ndné vsi,3.80
nóno vsi,3.80
vsi utvoženo,3.80
p0dorya vsi,3.80
vsi psšžoích,3.80
1jč iii,3.80
směru s-j,3.80
hrušová sis,3.80
hrušová lís,3.80
trati zín,3.80
konce vaijazuerbfluz®,3.80
enčzu s-j,3.80
ovšem možnost,3.80
ovšem nejedná,3.80
trati přiléhá,3.80
trovaných s-j,3.80
trati „desánka,3.80
trati „esinka,3.80
amru s-j,3.80
ajjč iii,3.80
mel6 trati,3.80
mljc iii,3.80
trati láni,3.80
uč iii,3.80
vedla odedivna,3.80
dojít mohlo,3.80
cle ba,3.80
šáe ba,3.80
říkovice čís,3.80
údolí orlice,3.80
trati „volká,3.80
údolí severně,3.80
trati yorlovům,3.80
trati „vohzada®,3.80
trati „vohrada®,3.80
trati „eypozk,3.80
lesní trat,3.80
trati plužiny,3.80
údaje muze-,3.80
trat „hatec,3.80
trat plušiny,3.80
velmi dobře,3.80
velmi zvláštní,3.80
vedla ade,3.80
velmi brzy,3.80
trati „štěrbovec,3.80
trati „štärbovec,3.80
trati uštěpnico,3.80
vysok mýto,3.80
mohlo vést,3.80
trati „e,3.80
trat ouzkojch,3.80
historické údaje,3.80
archeologické údaje,3.80
mohlo jednat,3.80
velmi podiv*,3.80
hraně údolí,3.80
archoologický materiál,3.79
archeoloioký materiál,3.79
archeologioký materiál,3.79
třeba upřesnit,3.78
trat zfkupech,3.78
trat plužiny,3.78
třeba příponenout,3.78
třeba dodat,3.78
třeba vysvětlit,3.78
třeba chápat,3.78
třeba dodet,3.78
úzkou trat,3.78
trat „,3.78
trat okrajovoz,3.78
půdorys vel,3.77
vel,3.75
problematika cest,3.75
obvodových stavení,3.75
noomačenou lokalitu,3.75
čís be,3.75
gdb iv/,3.75
cestu pocházejí,3.75
aroheologiokcý matoriál,3.75
‘ 5-,3.75
oj krásen,3.75
„dolni luka,3.75
„loraí luka,3.75
otázce cest,3.75
modrá rez,3.75
cestu „voštici,3.75
kobumberskou lokalitu,3.75
det -0bx—252,3.75
doby resbizace,3.75
povrch uhlazen,3.75
celních cest,3.75
povrch hlazen,3.75
iv 3rolo/,3.75
matoriál otžední,3.75
vrč í,3.75
oj libeta,3.75
individuální oj,3.75
gdb 111/1,3.75
povýšení litomyšle,3.75
at ’,3.75
iv 3role,3.75
znovu cestu,3.75
pozaější doby,3.75
stavení léčících,3.75
hunen stavení,3.75
í dy,3.75
archeologioký matoriál,3.75
lokalitu „secri,3.75
doby kn,3.75
r0b stř,3.75
hůl stř,3.75
4x vinice,3.75
přodmty byly,3.75
7a motori,3.75
výakumu byly,3.75
vraclavsktén hradišti,3.75
čneknho vysokého,3.75
„k vinice,3.75
stř vytas,3.75
tf stř,3.75
šlo půvon,3.75
spíže šlo,3.75
poznamenáte 7a,3.75
čexe stř,3.75
„předním hradišti,3.75
nélezcch odtud,3.75
aa_ t,3.74
ploka t,3.74
mlé t,3.74
nojv t,3.74
uchn t,3.74
z2u-nevytáä t,3.74
t filiabus,3.74
t -oík-aclmbork,3.74
nálezy,3.73
šikmó st,3.73
obrposn st,3.73
čeže st,3.73
eče st,3.73
st zv,3.73
„položení švábský,3.73
„položení ruhostranský,3.73
„položení hlavňovské,3.73
všij „položení,3.73
„položení mokrý,3.73
„položení zzuckó,3.73
„položení cfkovské,3.73
„položení homí,3.73
ést val,3.71
viz pžopisy,3.71
půdoryu val,3.71
jmáno val,3.71
pdorye val,3.71
okraje val,3.71
jmóno val,3.71
viz zprí-,3.71
ohz om,3.71
7ndno val,3.71
výše ost,3.71
f0dozys val,3.71
jnéno val,3.71
odlištkách viz,3.71
starý silnice,3.71
jz8% vui,3.71
30*50 om,3.71
dnešní výše,3.71
0-25 om,3.71
vsv val,3.71
hl*42 om,3.71
sv vui,3.71
sz vui,3.71
silnice deení-poříčí,3.71
okraj stř-vys,3.71
jmóno vsí,3.71
upode vsí,3.71
uméno vsí,3.71
třeba datovat,3.71
třeba objnsnit,3.71
třeba poznamenat,3.71
vsí dohunovice,3.71
třeba upozornit,3.71
výčtu vsí,3.70
hornojezdských vsí,3.70
p0dorysy vsí,3.70
jmáno vsí,3.70
stř vytáčlvn,3.70
stř vy4á8,3.70
8e stř,3.70
glas stř,3.70
stř vytč,3.70
stř vytáä,3.70
mosi vsí,3.70
okraje vmi,3.70
okraje wi,3.70
14ti č,3.70
cahra č,3.70
sahradě č,3.70
zahreě č,3.70
zahrad č,3.70
„objekct č,3.70
vračovic č,3.70
parce č,3.70
parcelní č,3.70
xx č,3.70
tžop č,3.70
dom č,3.70
materiál,3.69
zanedbatelné •,3.69
rbce •,3.69
• jemý,3.69
map •,3.69
• „paldcem,3.69
• tnarez,3.69
• zia,3.69
1359/ •,3.69
• ■*,3.69
• tmarespo,3.69
pare# •,3.69
• ’,3.69
• •possidendur,3.69
-269* •,3.69
• radlko,3.69
• přím,3.69
j val,3.69
části vsi,3.68
p t,3.67
možno objet,3.67
intxevilénu obce,3.67
zdi kostela,3.67
tribuny kostela,3.67
totiž vyskytla,3.67
tok řeky,3.67
vyp tv,3.67
anad místo,3.67
däbánovských hranic,3.67
možno poune,3.67
něm vyp,3.67
hrutov ecclesiae,3.67
hrutov domácí,3.67
dvou přeslonoch,3.67
obě správy,3.67
dle níš,3.67
jmóno vai,3.67
místě stojí,3.67
letoch 17*1-1746,3.67
venku vnitř,3.67
stardho kostela,3.67
farního kostela,3.67
0z vai,3.67
slída stav,3.67
okzaje vai,3.67
kconci obce,3.67
totiž hradištní,3.67
zástavba vai,3.67
mš cerekvice,3.67
rrahy-eonviktaké ulice,3.67
po- it8ky,3.67
jv vai,3.67
gtž stav,3.67
507a aign,3.67
evyobz sen,3.67
místní jména,3.67
jn6no vai,3.67
x ■,3.67
ledce 4c,3.67
„u stáří,3.67
„e stáří,3.67
kostelu johanitů,3.67
0náno vol,3.67
kostela ee,3.67
pr níš,3.67
p0dorya vai,3.67
dolní újezd,3.67
litom šlaký,3.67
thaleovaká ulice,3.67
nalézals místa,3.67
okraj msta,3.67
rybniční hospodarství,3.67
kapli sv,3.67
tý 1973a,3.67
hranic katastzu,3.67
■ li,3.67
sloupnice křekovice,3.67
mravín xmosty,3.67
mravín rybníček,3.67
■ >,3.67
s+* stav,3.67
sloupnice švábenice,3.67
3* ucho,3.67
litom š1vlkov,3.67
sce- ■,3.67
lze dodat,3.67
kostela sv,3.67
minulóm stolotí,3.67
bz vai,3.67
oso vai,3.67
část plužiny,3.67
kapli ev,3.67
místě úvahy,3.67
nale- sen,3.67
dvou tvrzích,3.67
jníno vai,3.67
pří- dawcícn,3.67
letoch 1832-1925,3.67
zachyconé uš,3.67
2ůdory vol,3.67
z3z vai,3.67
po- tovic,3.67
j3 vai,3.67
okřeje vai,3.67
údolím potoka,3.67
507a uign,3.67
■ lo,3.67
■ ja,3.67
15l8 mlaudián,3.67
vsza38 čechách,3.67
sv vai,3.67
nóno vai,3.67
místo olší,3.67
fíčce desné,3.67
rybniční hospodárství,3.67
stav týhn,3.67
osik —-—a—2q,3.67
okraji losa,3.67
osik ĺý—líž—,3.67
■ češe,3.67
tý 1e57a,3.67
♦ sul,3.67
konei vai,3.67
■ ník,3.67
jmónu místa,3.67
pří- pona,3.67
hunnm vai,3.67
stř* stav,3.67
jjz vsi#,3.67
fqdorys vai,3.67
loly sbírky,3.67
přežívající snad,3.67
neboř víme,3.67
farní kroniky,3.67
táto oblasti,3.67
střopy pooházejí,3.67
juáno vei,3.67
jmóno vei,3.67
farní jiš,3.67
„roh vei,3.67
dně objektu,3.67
p0dorye vei,3.67
prislí vlnice,3.67
horia zýhani,3.67
námohl stát,3.67
jojín okolí,3.67
kanoe val,3.67
silnice sioupnice-voděrady,3.67
obvodový rýha,3.67
aně- rez,3.67
silnice ňepníky-domanice,3.67
pravkých hradišt,3.67
exponovaná poloha,3.67
opevnění pro-,3.67
ves lhotka,3.67
lase stát,3.67
výše odut,3.67
ves akládala,3.67
nová ves,3.67
odedávna most,3.67
sbírky p,3.67
sbr autora,3.67
dně dôlek,3.67
klášter vei,3.67
ä nhož,3.67
oblasti kolonizovaaó,3.67
ves olets,3.67
kanenec mohl,3.67
itro- su,3.67
užívané snad,3.67
55/72 „vraclav,3.67
42/72 „vraclav,3.67
vraolav dís,3.67
sl střopy,3.67
ves vyeídlenců,3.67
benáteké hradišt,3.67
mohla přecháset,3.67
patrně 6%,3.67
yz2 vn,3.67
oblasti existovat,3.67
okolí spálence,3.67
jméno lokality,3.67
návrší vymezeném,3.67
lová ves,3.67
návrší přímo,3.67
tovou ves,3.67
povrchový sbr,3.67
jméno vei,3.67
mezí vei,3.67
brtkova ves,3.67
tématu práce,3.67
prs* sípí,3.67
-sv vei,3.67
-z vei,3.67
-jv vei,3.67
tehdy snad,3.67
čeže stř-,3.67
jdoucí zovnoběžně,3.67
tuhy stopy,3.67
5ep0dorye vsi,3.66
20dorys vsi,3.66
5-pdorys vsi,3.66
2emóno vsi,3.66
vsi b,3.66
ssz vsi,3.66
okreje vsi,3.66
uníno vsi,3.66
j2 vsi,3.66
jmno vsi,3.66
podo vsi,3.66
vsi ekla,3.66
tvriiny vsi,3.66
čtvrtiny vsi,3.66
% vsi,3.66
ostatní vsi,3.66
zajz vsi,3.66
vsi secri,3.66
jn0no vsi,3.66
móno vsi,3.66
vsi domenie,3.66
jaóno vsi,3.66
p0d0zys vsi,3.66
tnno vsi,3.66
0néno vsi,3.66
p0dozys vsi,3.66
jn6no vsi,3.66
tnéno vsi,3.66
0méno vsi,3.66
vsi některá,3.66
3z vsi,3.66
3méno vsi,3.66
tz vsi,3.66
vsi nalezeno,3.66
• ial,3.65
• 115-,3.65
• mč,3.65
• naničný,3.65
• mis,3.65
-----------------e--- •,3.65
vytáčen •,3.65
• ně,3.65
• s*,3.65
litouyil •,3.65
• 1t,3.65
3*4 •,3.65
„tnóno •,3.65
• udychovaká,3.65
• st-,3.65
• mosty,3.65
floupnice *,3.65
däbánov *,3.65
erbce *,3.65
rbce *,3.65
* stn230,3.65
* s6,3.65
* pluži-,3.65
* st235,3.65
tigová *,3.65
„vohzada *,3.65
* jz,3.65
* htrs,3.65
volovice *,3.65
* sv,3.65
* p,3.65
* m1r180,3.65
* gemeindpusoh,3.65
* 124*10,3.65
okraji va,3.65
e titomy,3.64
čás—e e,3.64
orašio e,3.64
svis- h,3.64
3x h,3.64
sou h,3.64
pffof h,3.64
3sou h,3.64
mjč h,3.64
j kostela,3.64
j ledce,3.64
ves ‘,3.64
barokní kostel,3.64
románských kostel,3.64
kostel mucel,3.64
morašický kostel,3.64
kostel zvětäen,3.64
vraclav sy,3.64
vraclav hibišti,3.64
sakomponovín kostel,3.64
brny vraclav,3.64
ifumí kostel,3.64
dřevěný kostel,3.64
kostel zbudován,3.64
y vsi,3.63
s-j,3.63
| b,3.62
eladhoitká pole,3.62
„finkrálovo pole,3.62
volotioká pole,3.62
prodej pole,3.62
j vei,3.62
j e,3.62
dále ade,3.62
dále juou,3.62
dále větší,3.62
nikam dále,3.62
dále předpokládá,3.62
litomyšle —,3.61
— at,3.61
p lužina,3.60
vel desné,3.60
slí h,3.60
žlu povrchy,3.60
ao mohla,3.60
geometrická horiz,3.60
povrchy jond,3.60
zboží h,3.60
uáč h,3.60
pole shty,3.60
žlu-růž povrchy,3.60
horu h,3.60
stopami horiz,3.60
mohla rozkládat,3.60
souběžnými horiz,3.60
oble sti,3.60
voi směrem,3.60
trati,3.60
hloubení příkopu,3.60
místě uvóet,3.60
místě pěšici,3.60
čís ba,3.60
pří tuhy,3.60
pří tuly,3.60
stichova mapa,3.60
salorova mapa,3.60
příkopu //,3.60
cdb ii,3.60
vysoká mýto,3.60
povrchy široký,3.60
rova mapa,3.60
sboší hs,3.60
povrchy videln,3.60
vylmáním příkopu,3.60
listino uvádí,3.60
„e humny,3.60
194/ uvádí,3.60
cdb pí,3.60
bí povrchy,3.60
yee tvr,3.60
cdb v/l,3.60
víme r,3.60
• p,3.59
části vui,3.59
trat,3.58
půdorys vei,3.58
jz vei,3.58
sv vei,3.58
20dorys vei,3.58
jv vei,3.58
zanikló vei,3.58
tvrdost střední,3.57
väci vis,3.57
čerä vis,3.57
vis výšo,3.57
slídy* výzdoba,3.57
sti zolln,3.57
výzdoba plotónek,3.57
bžlu cihl,3.57
tř cihl,3.57
elídou* výzdoba,3.57
cihl povrohy,3.57
polož w,3.56
w 21toholio,3.56
w lhata,3.56
w erálovec,3.56
ves,3.56
nče vnitř,3.56
vnitř masenicl,3.56
vnitř jemis,3.56
vnitř tmacihl,3.56
čís,3.55
* ts,3.54
* soudě,3.54
vsí* *,3.54
* lochu,3.54
* mohl,3.54
* hs-st,3.54
* bezprostředně,3.54
* sy,3.54
* př2p,3.54
sberk *,3.54
oxye *,3.54
* 8z,3.54
* sever,3.54
zmts *,3.54
* ii,3.54
* stn155,3.54
1itomyšlbažantnice *,3.54
* 83/77-,3.54
vytá *,3.54
hranice *,3.54
eimtóst* *,3.54
* coste,3.54
* „končina,3.54
glez *,3.54
* pr£,3.54
jméno vai,3.54
ti stav,3.54
229x4 vytáč,3.54
stž vytáč,3.54
vytáč yýv,3.54
s+ vytáč,3.54
ř£pí vytáč,3.54
tha vytáč,3.54
uvádí r,3.53
• r,3.53
• nálezy,3.53
jjz vi,3.52
* w,3.51
veškeré údaje,3.50
nýbrž spiše,3.50
sč jíl,3.50
evidentně ofvorena,3.50
# ur,3.50
obdobná situace,3.50
dílem kolmo,3.50
geety nejspíše,3.50
spojuje litomyšl,3.50
385/ vykládá,3.50
odkud mimo,3.50
dobró doklady,3.50
práce zahrnul,3.50
snažím opět,3.50
tvary debánice,3.50
vzpomíná anon,3.50
říčky demé,3.50
humen stáčejí,3.50
újezd— desná,3.50
tisovou stojí,3.50
možnosti vyobrazen,3.50
popisu nálezů,3.50
listina reg-1,3.50
často svědčili,3.50
mu vyplynulo,3.50
zpráva bylt,3.50
hranicím katastr,3.50
wení vyloučeno,3.50
doložona krčna,3.50
všímám především,3.50
sto stose,3.50
chotěšiny mspě,3.50
stole tí,3.50
rýžky slip,3.50
svitevách patrně,3.50
avfo zanikly,3.50
nedaleká rabouň,3.50
podobné poloze,3.50
poprvé vyakcytuje,3.50
dřovném mostě,3.50
„orlavé jmno,3.50
zachycené mepami,3.50
archaologický materidl,3.50
rýhovaný střep,3.50
kor tele,3.50
-é šir,3.50
zejména výzdoba,3.50
historie poprvá,3.50
obálce rktp,3.50
sta- voní,3.50
sli viisk,3.50
rukou diviše,3.50
sovohredka patrně,3.50
noboš jinde,3.50
druhý odlouen,3.50
okolí kostola,3.50
nejspíše vyklučen,3.50
potřeby zenědäletví,3.50
sxtract utr,3.50
476a siga,3.50
